inst_id,OC,bedCount,employee1,revenue3,salescost3,sga3,salary3,noi3,noe3,interest3,ctax3,profit3,liquidAsset3,quickAsset3,receivableS3,inventoryAsset3,nonCAsset3,tanAsset3,OnonCAsset3,debt3,liquidLiabilities3,shortLoan3,NCLiabilities3,longLoan3,netAsset3,surplus3,employee3,age,ownerChange_change,ownerChange_same,instkind_clinic,instkind_general_hospital,instkind_hospital,instkind_nursing_hospital,instkind_traditiona_hospital,instkind_traditional_clinic
1,open,0.07116532198096372,0.002588339880119727,0.011553535393199275,0.03980171579633352,0.0028542133561578775,0.0033895849972165708,0.02343957524150175,0.31486514114501224,0.1552812954775233,0.23304748508509068,0.47501188636826436,0.01632674867352203,0.26200690573057855,0.47023160980324274,0.3431580584486888,0.032525787335786455,0.025268749022185923,0.23911608695524822,NaN,0.4355155583971709,0.10199830048518407,0.33166810660206775,0.10865139965084888,0.02155312891892133,0.01586436993130923,0.043880324127337514,0.05753458983012706,0,1,0,0,0,1,0,0
3,open,0.390625,0.44518611214099035,0.03432092678066468,0.04498319102650382,0.019584815724067388,0.022527236778437737,0.027055411731860095,0.3058224949212237,0.16638416870585368,0.23740162191642847,0.4557130006340101,0.10605917363989002,0.28072998888873624,0.4556171632153783,0.38891298166111343,0.05560264830086111,0.04585120746830702,0.2663268214198933,NaN,0.4592249221835632,0.1145289536012624,0.3618023271457535,0.11599615401580086,0.021528256323792124,0.014852718082606171,0.03405451458635207,0.26285321037504367,0,1,0,1,0,0,0,0
4,open,0.5089604402141582,0.03776360756565973,0.017803187388977074,0.05481045391482543,0.00449180798894875,0.005353573659322846,0.023457445573837058,0.31605976753042864,0.15792262932561182,0.22597173891156547,0.47751596110360445,0.013472689962470911,0.26580039093946506,0.4738694618062395,0.3749924934419791,0.03379553256965506,0.026338202214833514,0.23943869737349546,NaN,0.4387708219185355,0.10199830048518407,0.3324961871011849,0.109200083283598,0.021843412901009943,0.015113629220194394,0.6328381042406452,1.2537021904035983e-4,0,1,0,0,0,1,0,0
7,open,0.28956210960737655,0.30484397270174407,0.05977520101424323,0.03980171579633352,0.03990126604004216,0.023907169642565333,0.02431311710533137,0.3084883171817276,0.08268001571756874,0.20196014551800978,0.4798270906636538,0.1431428722429174,0.3437421989513742,0.4733916541918621,1,0.06891231553386415,0.05689154581498866,0.24331556421246087,NaN,0.8053808547042883,0.7705135589448913,0.24294641912140627,0.026635939169126575,0.024233993136875357,0.018233554677337005,0.04599473883868881,0.18239831724833083,0,1,0,1,0,0,0,0
9,open,0.08926977989292087,0.029232728691758005,0.017524881998894293,0.03980171579633352,0.004774542464659531,0.011115232832479295,0.01152395037256894,0.3077761216282706,0.11511593527402289,0.22597173891156547,0.47815438137674887,0.061619337636513935,0.3298694938664326,0.5176962901772322,0.3424949146917374,0.013518800726328922,0.01136169994467506,0.17055054993101038,NaN,0.4035700037634255,0.11356628771315742,0.32688995666225595,0.10080303398667571,0.021002103146102787,0.015113629220194394,0.05612527285278077,0.08930449931472487,0,1,0,1,0,0,0,0
11,open,0.13721603584176084,0.10908172712734619,0.008350328983450528,0.025005798707683588,0.0021734334654331467,0.005161017079611288,0.021745732601050827,0.3400590748203235,0.08385487621138442,0.22597173891156547,0.46101883172047853,0.053970906335245615,0.29279194566812355,0.50127824649051,0.3584735971920431,0.010482474906730104,0.00687626137326032,0.23229936521841493,NaN,0.34549244108735183,0.10514536249581974,0.33219282216123464,0.109200083283598,0.020697117634627126,0.008700775853631113,0.05378697893669815,0.14716046368959773,0,1,0,1,0,0,0,0
14,open,0.10542692221891732,0.03366719973066241,0.01853034346993644,0.031812542363007804,0.007634819884540018,0.011262664360756005,0.02591733700139431,0.31197270937478705,0.19105323925984133,0.1858391550828052,0.5129115127749048,0.12266925179759251,0.266342844199995,0.4767440510673117,0.5364460310840512,0.029979731911651722,0.02288381105196638,0.23676148041866346,NaN,0.6607022353333577,0.22906136704328695,0.2945523254343168,0.07674388102674758,0.007291813244584286,0.015060861648405673,0.02314040335570052,0.7873646407548318,0,1,0,1,0,0,0,0
15,open,0.1452353509815586,0.16565375232766252,0.050935071546378746,0.07752300636118466,0.008428290399329769,0.015423509663208098,0.013989883314311771,0.5239113602787986,0.15988947021839575,0.42928495177092735,0.406696779329394,0.13368072185114868,0.5029564636804272,0.5364106105277736,0.36687199324389586,0.013183771924501146,0.009235555913025727,0.24251891870330383,NaN,0.9413466243804239,1,0.2823202911514033,1.1546210917245248e-4,2.652393892004896e-4,0,0.04599473883868881,0.5651894160411323,0,1,0,1,0,0,0,0
16,open,0.1821832242712671,0.04073731167410151,0.011574677097203943,0.039237863322696125,0.0033053711637407147,0.005101081202390955,0.029452417850554725,0.296213724025095,0.11091053563126145,0.28392707378254967,0.49627793503264406,0.0356739535368635,0.30813099164259855,0.4733916541918621,0.3275127838574181,0.021272984048258493,0.015406496611179626,0.23589396565965606,NaN,0.3929181533738892,0.1064638315768093,0.3321809651334918,0.109200083283598,0.020697117634627126,0.015113629220194394,0.04599473883868881,0.07398067073778172,0,1,0,0,0,1,0,0
17,open,0.007029390987507437,0.09471404096129592,0,0.021962034447720647,0.0020346279194762337,0.0023389363219392416,0.03886184920039339,0.19002323583405392,0.06645679936482295,0.17866613315856833,0.37058929874920843,0.040560957359778035,0.275798092569491,0.5115909706713064,0.4465346564474076,0.0034946242785922005,0.002277321473346628,0.23943869737349546,NaN,0.3541917748006614,0.013201910548522374,0.31231347347632454,0.09387465516331521,0.018791575353738234,0.013560639015096354,0.03405451458635207,0.19465653176543804,0,1,0,1,0,0,0,0
